final_state,path,revenue_usd,direct_cost_usd,compute_cost_usd,penalty_usd,nutrient
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
starter,awareness->interest->discovery->starter,2500.0,350.0,0.02,0.0,2149.98
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
discovery,awareness->interest->discovery,500.0,0.0,0.02,0.0,499.98
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
discovery,awareness->interest->discovery,500.0,0.0,0.02,0.0,499.98
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
discovery,awareness->interest->discovery,500.0,0.0,0.02,0.0,499.98
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
starter,awareness->interest->discovery->starter,2500.0,350.0,0.02,0.0,2149.98
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
starter,awareness->interest->discovery->starter,2500.0,350.0,0.02,0.0,2149.98
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
discovery,awareness->interest->discovery,500.0,0.0,0.02,0.0,499.98
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
professional,awareness->interest->discovery->starter->professional,7500.0,900.0,0.02,0.0,6599.98
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
discovery,awareness->interest->discovery,500.0,0.0,0.02,0.0,499.98
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
starter,awareness->interest->discovery->starter,2500.0,350.0,0.02,0.0,2149.98
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
discovery,awareness->interest->discovery,500.0,0.0,0.02,0.0,499.98
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
starter,awareness->interest->discovery->starter,2500.0,350.0,0.02,0.0,2149.98
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
starter,awareness->interest->discovery->starter,2500.0,350.0,0.02,0.0,2149.98
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
discovery,awareness->interest->discovery,500.0,0.0,0.02,0.0,499.98
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
starter,awareness->interest->discovery->starter,2500.0,350.0,0.02,2500.0,-350.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
starter,awareness->interest->discovery->starter,2500.0,350.0,0.02,0.0,2149.98
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
professional,awareness->interest->discovery->starter->professional,7500.0,900.0,0.02,0.0,6599.98
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
professional,awareness->interest->discovery->starter->professional,7500.0,900.0,0.02,0.0,6599.98
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
discovery,awareness->interest->discovery,500.0,0.0,0.02,0.0,499.98
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
discovery,awareness->interest->discovery,500.0,0.0,0.02,0.0,499.98
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
discovery,awareness->interest->discovery,500.0,0.0,0.02,0.0,499.98
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
discovery,awareness->interest->discovery,500.0,0.0,0.02,0.0,499.98
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
starter,awareness->interest->discovery->starter,2500.0,350.0,0.02,0.0,2149.98
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
starter,awareness->interest->discovery->starter,2500.0,350.0,0.02,0.0,2149.98
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
discovery,awareness->interest->discovery,500.0,0.0,0.02,0.0,499.98
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
professional,awareness->interest->discovery->starter->professional,7500.0,900.0,0.02,0.0,6599.98
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
discovery,awareness->interest->discovery,500.0,0.0,0.02,0.0,499.98
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
discovery,awareness->interest->discovery,500.0,0.0,0.02,0.0,499.98
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
professional,awareness->interest->discovery->starter->professional,7500.0,900.0,0.02,0.0,6599.98
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
starter,awareness->interest->discovery->starter,2500.0,350.0,0.02,0.0,2149.98
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
starter,awareness->interest->discovery->starter,2500.0,350.0,0.02,0.0,2149.98
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
starter,awareness->interest->discovery->starter,2500.0,350.0,0.02,0.0,2149.98
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
starter,awareness->interest->discovery->starter,2500.0,350.0,0.02,0.0,2149.98
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
discovery,awareness->interest->discovery,500.0,0.0,0.02,0.0,499.98
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
starter,awareness->interest->discovery->starter,2500.0,350.0,0.02,0.0,2149.98
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
professional,awareness->interest->discovery->starter->professional,7500.0,900.0,0.02,0.0,6599.98
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
professional,awareness->interest->discovery->starter->professional,7500.0,900.0,0.02,0.0,6599.98
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
interest,awareness->interest,0.0,0.0,0.02,0.0,-0.02
awareness,awareness,0.0,0.0,0.02,0.0,-0.02
starter,awareness->interest->discovery->starter,2500.0,350.0,0.02,0.0,2149.98
